amount;category;country;date;description;industry;project_name;;;;
USD 5.00 MLN;;Cambodia;12/06/2013;"{'Who is our client': "" PRASAC Microfinance Institution Ltd. is the largest microfinance institution (MFI) from Cambodia, with outstanding financial performance. Its competitive advantage derives from positive reputation in the market, a wide network and a strong, committed management team. Prasac is owned by well-known international lenders, including Dragon Capital (FMO's client in Vietnam), Oikocredit, BIO, Lanka Orix Leasing (FMO's client in Sri Lanka) and FMO, each holding 18% and with the remaining shares owned by Prasac Staff Association. With the largest branch network, it has presence in all provinces of Cambodia and it has the highest penetration coverage among all MFIs. PRASAC provides both individual loans and group loans, with individual loans currently being the main focus."", 'Funding objective': "" This local currency debt facility will enable growth in PRASAC's MSME portfolio. More specifically, it will be used by PRASAC to further serve the micro and small clients, as these loans are usually in Cambodian riels whereas larger loans are often in US dollars. At the same time, the new debt facility will significantly improve the aggregate open currency position."", 'Why we fund this project': "" PRASAC is a strong, well-known client of FMO. Based on sound financial performance and high quality of management, FMO decided to become an influential shareholder in 2012 and to actively support the MFI in its transition process to holding bank status. Financing PRASAC is also in line with FMO's Financial Institutions strategy for Cambodia, which includes an expansion of FMO's exposure primarily with existing clients and, within the MFI sector, a focus on support and guidance for PRASAC. The transaction is highly inclusive as PRASAC's focus is on the poor, unbanked population in a low-income country.""}";Financial Institutions;PRASAC MICROFINANCE INST LTD;;;;
INR 763.01 MLN;;India;12/06/2013;"{'Who is our client': "" Equitas Holdings Private Limited is a rapidly growing and well performing holding company with total assets of US$335 mln (30th June 2013). The company is also highly committed to environmental, social and governance issues. The company's core business is financing micro-entrepreneurs with limited access to formal credit channels. Through  three wholly-owned non-bank financial institution (NBFI) subsidiaries, it offers: (i) micro-loans through the group-loan model to women micro-entrepreneurs";;;;;;
USD 22.00 MLN;;India;12/10/2013;"{'Who is our client': ' Panama Wind Energy Godawari Private Ltd. is owned by the renewable energy fund developer Berkely Energy Wind Mauritus Limited (99.97%) and Indian businessman Mr. Sameer Ladkad (0.03%). The company was established to develop a 80MW wind farm in the state of Maharashtra, India.', 'Funding objective': ' The FMO senior loan will be fully used for the development of the wind farm.', 'Why we fund this project': "" India's rapidly growing economy and population are placing increasing demands on the country's already limited power supply. India has stated ambitious energy plans to meet this demand. The project will also contribute to the diversification of India's primarily thermal energy supply and ultimately contribute to the availability and increased reliability of power for the country as a whole.""}";Energy;PANAMA WIND ENERGY GODAWARI PRIVATE;;;;
USD 20.00 MLN;;Ecuador;12/11/2013;"{'Who is our client': ' Pichincha is Ecuador’s largest bank with the most extensive branch and ATM networks. It is also the largest player in the mico-, small- and medium-sized enterprise (MSME) market. Pichincha has operations in all 24 provinces of Ecuador, with 303 branches and 9,300 non-banking correspondents.', 'Funding objective': "" FMO is providing Pichincha with long-term subordinated debt. The purpose of FMO's funding is to strengthen Pichincha's capital base and to foster the development of the bank's loan portfolio for MSMEs in Ecuador."", 'Why we fund this project': "" FMO's loan offers Pichincha scarce long-term funding. In addition, FMO has also catalyzed the involvement of other development finance institutions. On the non-financial side, FMO plans to assist Pichincha in developing their environmental and social management system.""}";Financial Institutions;BANCO PICHINCHA C.A.;;;;
USD 5.00 MLN;;Uzbekistan;12/11/2013;"{'Who is our client': "" OJSCB Ipak Yuli Bank (IYB), incorporated in 1990, is among the leading private banks in Uzbekistan. The bank's primary business comprises retail, commercial, and corporate banking activities, securities operations, FX operations, money transfers, origination of loans and guarantees and deposit taking."", 'Funding objective': ' FMO has provided Ipak Yuli Bank with a US$13 mln loan. The facility will be used for on-lending to local SMEs and corporate clients.', 'Why we fund this project': "" For many years Uzbekistan and the Uzbek financial sector in particular have been relatively isolated from the international financial system. As such, US dollar funding is rather scarce in the local market. Local companies require dollars to purchase capital goods and supplies abroad. FMO's loan is a means for Ipak Yuli Bank to meet local demand and provide dollar funding to local companies, which will further benefit their development, growth and economic relevance.""}";Financial Institutions;JSICB IPAK YULI;;;;
USD 28.00 MLN;;Costa Rica;12/11/2013;"{'Who is our client': ' Our client is Inversiones Eolicas de Orosi Dos S.A., a special purpose vehicle created with the sole purpose of building and operating a 50MW wind power project, including a substation and a 20km transmission line, in the Guanacaste province of Costa Rica.', 'Funding objective': "" FMO's loan will go towards financing part of the cost of building the wind power project."", 'Why we fund this project': "" This project fits well with FMO's energy strategy. It is a renewable energy source in an upper-middle-income country. Additionally, the wind speeds at the location of the project are exceptionally high, which will ensure that the electricity output of the project is high, especially in the windy season. The windy season in Costa Rica falls at the same time as the dry season of the country. This is ideally timed, since Costa Rica uses a lot of electricity generated from hydropower plants, which cannot operate at full capacity in the dry season. The missing electricity from hydropower is currently replaced by power plants running on fossil fuels in the dry months of the year. The electricity that the present project generates is cheaper and cleaner than the fossil fuels which it will soon replace in the dry and windy season, and adds to a more sustainable energy mix for Costa Rica.""}";Energy;INVERSIONES EOLICAS DE OROSI  DOS;;;;
EUR 5.00 MLN;;Albania;12/12/2013;"{'Who is our client': ' NOA is a regulated microfinance institution (MFI) and has been operating in Albania for 15 years. The institution has a country-wide branch network counting 18 branches, with its head office located in Tirana. NOA serves micro and small businesses in both urban and rural areas, providing services to customers neglected by traditional banks. To date NOA has directly supported over 65,000 Albanian families. The MFI is increasingly focused on the agricultural sector. NOA aims to “improve the standards of living” of its customers.', 'Funding objective': "" Almost all the loans NOA provides to its clients are in the Albanian local currency (LEK) with a fixed interest rate. To match NOA’s business, FMO also provided a LEK loan with a 5 year fixed interest rate. This way the currency risk and the interest rate risk for NOA are minimized. With FMO's funding NOA will be able to increase its penetration into the micro and small business segment."", 'Why we fund this project': ' By financing NOA FMO supports the development of micro and small businesses in Albania.'}";Financial Institutions;NOA SH.A.;;;;
USD 8.00 MLN;;Kyrgyzstan;12/13/2013;"{'Who is our client': ' Kompanion Financial Group is a community development financial institution that seeks to combine conservation and development goals. It is a microfinance institution that supports the strengthening and growth of communities by offering development products and services to entrepreneurs and individuals all over Kyrgyzstan. Currently, Kompanion is one of the largest financial institutions in Kyrgyzstan in terms of number of consumers. Kompanion represents the culmination of 12 years of work by Mercy Corps in microfinance, and its desire to leave an enduring and sustainable community development financial institution as its legacy to the people of Kyrgyzstan. Kompanion is a young but quickly growing institution that promises to become the leading community development bank in Kyrgyzstan.', 'Funding objective': "" The European Bank for Reconstruction and Development (EBRD) extended a syndicated loan totalling a Kyrgyz som equivalent of US$ 12 million to Kompanion, already a long-standing client of the EBRD. The syndicated three-year loan comprises an A-loan from EBRD of up to US$ 4 million and a B-loan from FMO of up to US$8 million. The loan is consistent with the EBRD's and FMO's country strategy for the Kyrgyz Republic, which aims to extend local currency lending in order to build up local sources of funding and to reduce the use of foreign exchange in the country's financial system."", 'Why we fund this project': ' The proceeds of the syndicated loan will allow Kompanion to expand its lending operations to micro-, small- and medium-sized enterprises (MSMEs), especially in rural areas. It will also reduce Kompanion\'s exposure to the risk of sharp fluctuations in foreign currency exchange rates. This risk is particularly relevant to microfinance institutions (MFIs). In the past, MFIs have received only foreign currency funding, and their opportunities for hedging have been constrained. With this loan we would like to extend local currency financing to more Kyrgyz businesses, to help them avoid foreign currency exchange risk. Kompanion has a well-established network and good country coverage. These will be used to channel financing to more beneficiaries across the Kyrgyz Republic to support growth of the country\'s economy. Kompanion CEO Ulanbek Termechikov said: ""As a microfinance institution focused on community development, Kompanion is pleased to have this opportunity to expand access to funding for rural micro entrepreneurs, who are mainly engaged in agricultural production throughout the Kyrgyz Republic.""'}";Financial Institutions;KOMPANION BANK CJSC;;;;
EUR 5.00 MLN;;Nigeria;12/13/2013;{'Who is our client': ' Fortis Microfinance Bank PLC (Fortis) is a Nigerian microfinance institution that was founded in 2007. Since inception, Fortis has made an grown considerably and became one of the largest MFIs in the country. Fortis provides microfinance banking services to support entrepreneurship and the empowerment of the large unbanked population with a focus on (mostly female) micro clients and small enterprises.', 'Funding objective': ' FMO provides a local currency debt facility equal to EUR 5.0 million to Fortis in Nigeria. The 2.5 year tenor can be extended up to 5 years. Fortis will use this funding to provide loans to its micro clients and small enterprises and thereby stimulate financial inclusion.', 'Why we fund this project': ' With almost half the Nigerian population still excluded from financial services, microfinance in Nigeria is still at the developing stage, which is dominated by high interest rates and emerging client protection standards. FMO supports Fortis as one of the leading MFIs in the country to further implement the Client Protection Principles (CPP) with the aim to become CPP certified. The FMO facility will contribute to further financial inclusion and stimulate the further development of financial services.'};Financial Institutions;FORTIS MICROFINANCE BANK PLC;;;;
USD 12.00 MLN;;Africa;12/16/2013;"{'Who is our client': ' Alios Finance S.A. is a limited liability company incorporated and existing under the laws of France. Alios Finance S.A. is the holding company of a group of African non-banking financial institutions (NBFIs) that provides (i) consumer finance, and (ii) asset financing (through leasing and loans) predominantly to SMEs and to a lesser extent to larger enterprises and individuals. The sub-borrowers are Alios Finance Cameroun, Alios Finance Gabon, Alios Finance Ivory Coast, Alios Finance Kenya, Alios Finance Tanzania, Alios Finance Uganda, Alios Zambia or any other subsidiary of the borrower approved by FMO.', 'Funding objective': "" FMO's facility will be utilized and extended by Alios to one or more of the sub-borrowers for the funding of each such sub-borrower's credit portfolio, in respect of the growth of their small- and medium-sized enterprise clients."", 'Why we fund this project': ' As one of the few pan-African groups, operating in mostly low-income countries with a focus on leasing and the SME segment, Alios sits at the heart of the FMO Financial Institutions and MASSIF investment strategy. The company continues to represent a unique investment opportunity for FMO by providing long-term local currency financing to a financial intermediary servicing the SME segment in underdeveloped markets.'}";Financial Institutions;ALIOS FINANCE S.A.;;;;
USD 21.00 MLN;;Paraguay;12/17/2013;"{'Who is our client': ' Banco Continental is a leading small- and medium-sized enterprise (SME) and corporate bank in Paraguay.', 'Funding objective': "" FMO's funding and the funding mobilized from other development finance institutions enables Banco Continental to provide scarce long tenor USD loans to its clients. Long tenor USD funding remains scarce in Paraguay, but is highly needed to enable the required capitail expenditure for economic development."", 'Why we fund this project': "" FMO provides financing to Banco Continental as it is very efficient in channeling funds to SMEs corporates in Paraguay. Banco Continental and FMO cooperate on managing environmental and social risk in the bank's portfolio through the implementation of an environmental and social risk management system. Banco Continental is one of the founding members of the 'Mesa de Finanzas Sostenibles', a platform in which Paraguayan banks have organized themselves to agree on minimum levels of environmental and social risk management in their loan portfolios.""}";Financial Institutions;BANCO CONTINENTAL S.A.E.C.A.;;;;
USD 14.39 MLN;;China;12/18/2013;{'Who is our client': ' SinoGreen Fund L.P., a Cayman Island exempted limited partnership, is an eight-year private equity fund seeking to raise $150 million to invest in the clean-tech sector in China. The fund will invest in early- and growth-stage companies focusing on renewable energy, energy efficiency, cleaner transportation, non-energy related climate change mitigation technologies and other technologies that have direct contributions to climate change mitigation and adaptation. SinoGreen will be managed by GRC, a China-focused venture capital private equity investment. GRC was established in 2005 by an experienced team of individuals who previously worked and invested together in the venture capital and private equity fields focused on the hi-tech and clean technology sectors in Silicon Valley and Greater China.', 'Funding objective': ' The investments targeted by SinoGreen will foster private sector development, economic sustainability and financial returns. At the same time these will contribute to reducing greenhouse gas emissions through investments in clean technologies and more environmentally sustainable practices.', 'Why we fund this project': ' For FMO, SinoGreen presents an opportunity to increase sustainable impact and reduce footprint by investing in clean technologies and more environmentally sustainable practices.'};Energy;GRC SINOGREEN FUND III LP;;;;
USD 50.07 MLN;;Asia;9/27/2013;"{'Who is our client': ' The Asian Entrepreneur Legacy Two,  is a mezzanine fund which provides growth capital to 2nd tier companies in South-East Asia through mezzanine loans in combination with warrants or other equity rights.', 'Funding objective': ' The aim is to mprove availability of mezzanine finance in South-East Asia which is still limited.', 'Why we fund this project': "" The Fund will actively support investees to unfold their organic expansion programs which will increase job opportunities in quantity as well as quality. This is part of FMO's strategy of doubling its social impact.""}";Infrastructure, Manufacturing and Services;THE ASIAN ENTREPRENEUR LEGACY TWO;;;;
EUR 15.00 MLN;;Serbia;9/27/2013;"{'Who is our client': "" MK Group d.o.o. (MKG) is a holding company domiciled in Serbia, which aggregates majority of business activities. The Group is the second largest agribusiness conglomerate in Serbia and the number one sugar producer in the country with a 50% market share). The Group comprises four main divisions (% revenues): agriculture (5%), trade (40%), meat (10%) and sugar (38%). Sugar production is a vertically integrated business controlled by the Group, which also cultivates corn, soya, sunflower, wheat and rapeseed on 23,000 ha in Serbia (the rest is bought from approximately 21,000 farmers). On average the trading activities contribute around 40% to the Group's revenues with an annual turnover of 1 million tons."", 'Funding objective': ' FMO will invest a EUR15 mln in a senior secured loan, alongside DEG (EUR20 mln) and OeEB (EUR15 mln). The investment will fund the construction of new storage facilities (silos and warehouses) and  irrigation systems, the modernization of existing facilities, efficient sugar extraction machineries, a steam dryer for pellets to substitute heavy oil and working capital.', 'Why we fund this project': ' This investment will contribute to food security through improved and expanded storage facilities, improved extraction technologies and irrigation systems.'}";Agribusiness, Food & Water;MK GROUP D.O.O. BEOGRAD;;;;
INR 570.00 MLN;;India;9/28/2013;"{'Who is our client': ' IFMR Capital (2008) is an early growth non-banking financial company (NBFC) based in Chennia, India, whose mission is to provide efficient and reliable access to debt capital for financial institutions (""originators"") that impact low-income households and small businesses. IFMR Capital develops deep expertise in a specific sector and then acts as a bridge between the originators (for example, Tier 2 and 3 microfinance institutions or rural-based NBFCs) on one side and institutional debt investors (for example, banks, insurance companies and pension funds) on the other side.', 'Funding objective': "" FMO's existing and proposed facilities are IFMR's only long-term loans. This is particularly valuable now that the company is expanding into new assets with higher tenors, such as affordable housing."", 'Why we fund this project': "" FMO invests in this project in order to support IFMR's ambitious efforts to increase access to finance for small NBFCs in India, through the increase in the balance sheet size. It is in line with FMO's strategy to serve micro-, small- and medium-sized enterprises in India while supporting capital market products.""}";Financial Institutions;IFMR CAPITAL FINANCE PRIVATE;;;;
USD 24.00 MLN;;India;9/30/2013;"{'Who is our client': ' ReNew Wind Energy (Devgarh) Private Limited (RWEDPL) a project company established with the purpose of developing, constructing and operating a 49.5MW wind power plant situated in Sangli District of Maharashtra, India. The project shareholder is ReNew Power Ventures Private Limited, an India-based wind developer, which is held in majority by GS Wyvern Holdings Limited, an investment arm of the Goldman Sachs Group.', 'Funding objective': "" FMO's financing will fund part of the costs entailed by the construction of the wind power plant. The project is jointly funded by Rabobank."", 'Why we fund this project': "" The project's development impact includes generation of much needed energy from a domestic and renewable source. This will provide for (i) diversification of the fuel mix (India's generation mix is dominated by thermal power), (ii) energy security (India is facing significant power shortages), and (iii) avoiding greenhouse gas emissions. Strong (regulatory) support from the Government of India is in place for the development of renewable energy.""}";Energy;RENEW WIND ENERGY (DEVGARH) PRIVATE;;;;
EUR 15.00 MLN;;Africa;9/30/2013;{'Who is our client': ' Mediterrània Capital II (MC II) will be the second fund managed by Mediterrània Capital Partners (MCP or “the Manager”). The fund will invest growth capital in established medium-sized businesses primarily located in Morocco, Tunisia and Algeria with the potential to develop their activities and become Maghreb (Morocco, Tunisia and Algeria) regional players.', 'Funding objective': ' The market for medium-size companies is large, with ample opportunity to deploy MC II’s capital. In North Africa, small and mid-cap opportunities are vital to economic growth. In Morocco these companies represent 90% of enterprises. On average, these companies employ 55% of the employment force. However, they only contribute 20-40% to GDP in the region. This productivity gap suggests limited access to financing and lack of strategic support. As banks are deleveraging and implementing Basel III, they have limited appetite for providing growth capital to small- and medium-sized enterprises (SMEs). With only 0.05% PE to GDP, PE is covering a limited piece of the market. Like MC I, the Fund will invest growth capital in established medium-sized businesses primarily located in the Maghreb region with the potential to develop their activities and become regional players. The fund is sector agnostic, excluding real estate, but expects to see the most deal flow in the following sectors: Health (pharmaceutical industries and health services);;;;;;
USD 26.00 MLN;;Asia;10/01/2013;"{'Who is our client': "" The SBI FMO Emerging Asia Financial Sector Fund has been set up by SBI Group and FMO. In addition to being one of the largest Japanese PE firms (with AUM in excess of US$3 billion), the SBI Group is a leading global internet-based financial conglomerate. The SBI Group's core businesses include financial services, asset management and biotechnology-related business."", 'Funding objective': ' The fund will invest in promising financial sector opportunities in Emerging Asia (with a focus on India, Sri Lanka, Bangladesh, Indonesia, the Philippines, Thailand, Cambodia and Vietnam). The first close of the fund was realized at US$60 mln. The target fund size is US$100-125 mln.', 'Why we fund this project': "" The fund will invest in the financial sector - one of FMO's focus sectors - thereby leveraging the extensive financial services platforms  and knowledge of both SBI Group and FMO. At the time of investment there were limited funds active in the financial sector space in Asia, giving this investment a high level of additionality.""}";Financial Institutions;SBI FMO EMERGING ASIA FINANCIAL;;;;
USD 8.00 MLN;;Tajikistan;10/07/2013;{'Who is our client': ' OJSC Bank Eskhata (BE) was founded in 1993 and is headquartered in Khujand, the regional capital of Northern Tajikistan. The bank offers a wide range of financial services including lending, deposit taking, foreign currency exchange, and money transfer. It specializes in lending to micro, small and medium-sized enterprises in Tajikistan, and is the country’s market leader in money remittance operations.', 'Funding objective': ' Together with partner development finance institution DEG, a subsidiary of KfW in Germany, FMO is extending a senior loan of USD 18 million with a 5 year tenor and a 1.5 year grace period. FMO is providing USD 8 million under this facility. The facility is intended to be on-lent to small- and medium-sized enterprises (SMEs) in Tajikistan, and thereby support the economic development of the country.', 'Why we fund this project': ' In Tajikistan the access to finance for SMEs is limited. BE is among the best parties to serve local SMEs in their financing needs. Commercial long-term funding is scarce in Tajikistan. The confidence reflected in the long tenor and large amount of the facility provided by DEG and FMO will help BE attracting long-term funding from other parties as well.'};Financial Institutions;OJSC BANK ESKHATA;;;;
USD 2.00 MLN;;Ethiopia;10/09/2013;"{'Who is our client': ' africaJUICE is a dynamic young company that is on track to becoming a major producer and exporter of tropical fruit juices from Africa. africaJUICE (aJ) plans to establish at least three production locations across Africa and become a premier supplier of Fairtrade juice to the European market.', 'Funding objective': "" FMO's funding will go towards the company's expansion. aJ will add 900 hectares of fruit production area over the next three years to achieve the much needed scale. The capital expenditure in the processing plant will allow diversification into pomegranate, lemon and acerola. FMO's investment will also support infrastructure such as irrigation systems and a seed nursery, upgrades in the processing facility and support for an outgrower program provided to farmers."", 'Why we fund this project': ' With this investment aJ is able to operate a supply chain integrated business model into the European and Middle East markets. The company combines a fruit juice processing plant along with primary production farms in Ethiopia, providing direct control over quality and supply. This allows the company to access competitive sources of key inputs such as labor, land and water while maintaining close proximity to targeted export markets. The company is also operating an unique Outgrower Incubator Project in cooperation with IFC, FMO, ICCO of the Netherlands, GTZ of Germany, and the Rabobank Foundation. By scaling up this program, aJ is positioned to introduce modern farming practices into Ethiopia. If successfully rolled out, the investment and the program will cumulatively reach approximately 4,800 farmers.'}";Agribusiness, Food & Water;AFRICAJUICE BV;;;;
USD 23.00 MLN;;Ecuador;10/17/2013;{'Who is our client': ' Grupo Maderero Empresarial GEM Corp (“GEMHOLD”) is a Holding Company, consolidating several forestry, wood processing, trading and retail activities in Latin America. GEMHOLD is a vertically integrated retailer of wood products, most notably medium density fibre board (MDF), medium density particle board (MDP) and plywood.', 'Funding objective': ' Expansion of existing activities, resulting in GEMHOLD becoming the regional retail market leader. The facility will create substantial development impact, including employment creation, availability of affordable carpentry products, as  well as tax and hard currency generation.', 'Why we fund this project': ' Long-term financing is scarce in Latin America. FMO, together with DEG and Proparco, the German and French Development Finance Institutions,  support a successful, medium-sized group in realizing its ambitious regional expansion plans, for which long-term financing is crucial. In addition, GEMHOLD promotes sustainable forest management.'};Infrastructure, Manufacturing and Services;GRUPO MADERERO EMPRESARIAL GEM CORP;;;;
USD 25.00 MLN;;Guatemala;10/18/2013;{'Who is our client': ' Banco Agromercantil de Guatemala S.A. (“BAM”) is the fourth largest bank in Guatemala, with a 7.8% market share (based on total assets). Its history dates back to the 1920s when its predecessor, Banco Agricola Mercantil, issued the first Guatemalan currency, the Quetzal. In 2000, BAM was created from the merger of Banco Agricola Mercantil and Banco del Agro. Grupo Bancolombia recently acquired a 40% interest in BAM. Currently, BAM has close to 3,000 employees, about 1.1m clients and 235 branches, spread across the country. It offers commercial banking products to micro-, small- and medium-sized enterprises (MSMEs) and corporates, as well as retail banking services.', 'Funding objective': ' The USD 100 mln facility will be used to fund renewable energy loans as well as general portfolio growth (including SME lending). BAM is one of the few banks in Guatemala with project finance expertise and appetite. Over the past years they have built up significant experience with renewable energy (especially hydro) projects. With this long term financing (5 and 7 years), BAM is able to lengthen the maturity profile of its funding base. In addition, the on-lending of the funds to projects and clients in this lower middle income country contributes to private sector growth in Guatemala and the Central American region.', 'Why we fund this project': ' Long term funding is scarce in the Guatemalan market, so the tenor offered to BAM with this facility has significant added value. Since the funds will be partly used for renewable energy projects, our funds will contribute to improving the population’s access to clean energy. In addition, FMO was able to catalyze USD 50 mln of commercial funds as well as USD 25 mln from our fellow development finance institution DEG, resulting in a sizeable transaction. FMO also supports the design and implementation of an environmental and social management system at BAM.'};Financial Institutions;BANCO AGROMERCANTIL DE GUATEMALA;;;;
USD 6.23 MLN;;Bangladesh;10/25/2013;{'Who is our client': ' Through Brummer Frontier PE II fund, FMO is investing in Runner Automobiles Ltd in Bangladesh. Runner is the largest motorcycle manufacturer in the country with a large distribution network of dealers and showrooms. Runner also imports and sells trucks and tractors.', 'Funding objective': ' The equity investment from FMO and Frontier PE Fund, managed by Brummer & Partners, will enable the company to continue to grow by setting up a new painting facility, warehouse and R&D unit. Part of the investment proceeds will be used to reduce the existing debt.', 'Why we fund this project': ' The investment in Runner is a co-investment with Frontier PE Fund, the first private equity fund in Bangladesh. In addition to the equity investment, FMO will work with Runner to improve its environmental and social impact and its corporate governance structure.'};Infrastructure, Manufacturing and Services;BRUMMER FRONTIER PE II;;;;
USD 20.00 MLN;;Africa;10/29/2013;{'Who is our client': ' Convergence Partners Communications Infrastructure Fund (CPCIF) is the only infrastructure fund that is dedicated solely to the information and communications technology (ICT) sector in Africa.', 'Funding objective': ' The fund will invest in communications infrastructure and related services and technologies across sub-Saharan Africa. It expects to generate significant returns for investors, while also enabling ICT-driven socio-economic development.', 'Why we fund this project': ' FMO made a commitment to CPCIF because we expect that growing demand for bandwidth (doubling every 18 months) will continue to create a market need for investment in (shared) communications infrastructure. We see the potential development impact of expanding access to and quality of telecommunications services in Africa. The Convergence Partners team is addressing this opportunity with their extensive sector experience and network across the continent.'};Infrastructure, Manufacturing and Services;CONVERGENCE PARTNERS COMMUNICATIONS;;;;
EUR 0.24 MLN;;Philippines;11/05/2013;"{'Who is our client': ' Accion is a global nonprofit dedicated to building a financially inclusive world, with access to economic opportunity for all, by giving people the financial tools they need to improve their lives.', 'Funding objective': "" FMO will provide a Capacity Development (CD) grant for Bridge Philippines' capacity building program led by Accion. Accion will support Bridge in providing technical assistance, shared services, and potentially second management in 3-4 investee banks over the coming three years. Accion's support will focus on lending and risk management for microfinance institutions and small- and medium-sized enterprises."", 'Why we fund this project': "" Bridge's concept is tailored to improve financial inclusion, both in terms of outreach as well as the quality of the services offered. This investment is therefore strongly aligned with FMO's and MASSIF's strategic objectives for financial inclusiveness.""}";Financial Institutions;ACCION INTERNATIONAL;;;;
USD 15.00 MLN;;China;11/07/2013;{'Who is our client': ' Beijing KDS PCB Co Limited is a manufacturer of printed circuit boards in Beijing, China. Currently KDS produces mainly for automobile or automobile component producers in China.', 'Funding objective': ' FMO provided a mezzanine loan to KDS to enable the company to continue to grow.', 'Why we fund this project': ' KDS has been an FMO client since 2007. During this period the company has shown its commitment to environmental and sustainability by obtaining SA8000 and ISO 14001 certifications. The company is also committed to realizing a high standard for corporate governance.'};Infrastructure, Manufacturing and Services;BEIJING KDS PCB CO LIMITED;;;;
USD 8.00 MLN;;Latin America & The Caribbean;11/11/2013;{'Who is our client': ' Locfund II is a USD 62 mln closed-end debt fund that provides local currency finance and underwriting services to Tier II/III microfinance institutions (MFIs) in Latin America and the Caribbean. The fund was established by BIM, a 16-year old fund management company well known to FMO through existing clients Locfund and Prospero Microfinanzas Fund.', 'Funding objective': ' FMO has invested USD 8 mln in the equity tranche of Locfund II, which will be on-lent in local currency to Tier II/ III MFIs. Locfund II will contribute to the development of Tier II/ III MFIs by assisting them to achieve a more diversified funding base while reducing FX risks, both through the provision of scarce local currency finance and by transferring knowledge on Asset Liability Management (ALM), capital market transactions and more.', 'Why we fund this project': ' Locfund II provides much needed local currency finance to Tier II/III MFIs in an efficient way. FMO usually cannot cater to the Tier II/III MFI segment directly;;;;;;
DKK 82.60 MLN;;Africa;11/15/2013;{'Who is our client': ' Fan Milk is the leading manufacturer and distributor of frozen dairy products and juices in West Africa. Since its establishment over 50 years ago, Fan Milk has grown rapidly through a unique distribution network consisting of 31,000 independent vendors. The company currently operates in the markets of Ghana, Nigeria, Togo, Burkina Faso, Benin and Ivory Coast.', 'Funding objective': ' FMO participates in an investment consortium alongside The Abraaj Group and Danone in the acquisition of a 100% stake in Fan Milk in order to further the growth and expansion of the company. Key areas of value creation include group strategy, finance and M&A and environmental, social and governance best practices.', 'Why we fund this project': ' The investment has a positive inclusive and economic impact through job and livelihood creation as well as via government revenues. FMO will play a role in supporting The Abraaj Group in the development of an environmental and social management system to help the company achieve best practices.'};Agribusiness, Food & Water;ICE TOPCO LIMITED S.A.;;;;
INR 580.00 MLN;;India;11/18/2013;{'Who is our client': ' Equitas Finance is a new subsidiary of the Equitas Group focused on used vehicle finance, and started its activities in 2011. It provides financing to more than 12,000 small entrepreneurs in rural and under-banked regions.', 'Funding objective': ' FMO’s funding will increase stable funding for the client and will be used to provide loans for commercial vehicles, as well as to start the loan portfolio for small- and medium-sized enterprises (SMEs).', 'Why we fund this project': ' The Equitas Group is a long-term partner of FMO that has shown commitment to high quality governance and client protection. FMO happily supports the new entity of Equitas Group.'};Financial Institutions;EQUITAS FINANCE LIMITED;;;;
USD 30.00 MLN;;Latin America & The Caribbean;11/19/2013;"{'Who is our client': "" ACON Latin America Opportunities Fund IV makes structured equity and mezzanine investments in middle-market companies across Latin America. The Fund is managed by ACON Investments. The Fund has total commitments of US$ 515 million and is ACON's fourth consecutive investment program dedicated to Latin America."", 'Funding objective': "" The objective of FMO's commitment is to foster private-sector-led growth and job creation across Latin America, by making risk capital and strong social, environmental and corporate governance practices available to an underserved market segment."", 'Why we fund this project': ' Compared to other markets, the penetration of private equity in Latin America is still low, and the availability of structured capital solutions is rather limited.  As an anchor investor of ACON Latin America Opportunities Fund IV, FMO supported the swift and successfull fundraising of a pool of smart capital, that is intended to enhance the availability of structured capital solutions for middle-sized companies across Latin America.'}";Infrastructure, Manufacturing and Services;ACON LATIN AMERICA OPPORTUNITIES FU;;;;
USD 20.00 MLN;;Africa;11/20/2013;"{'Who is our client': "" Norwegian company Green Resources AS (GRAS, founded in 1995) is East Africa's leading forestation and timber processing company. GRAS has raised over US$100 mln in equity and invested in upstream plantations (25,000 ha of eucalyptus and pine) and downstream industrial timber processing equipment (largest sawmill in East Africa). GRAS' business model includes the creation of carbon credits on 70% of their plantation forests, which makes them one of the first global companies to receive forest carbon revenues. Currently 76% of GRAS' forest is FSC certified. The company is aiming for 100% certification."", 'Funding objective': "" FMO's financing will fund new timber processing equipment, plantations and general working capital requirements. FMO's fundign complements that of fellow development finance institutions, Finnfund and Norfund (US$25 mln)."", 'Why we fund this project': "" The project's development impact is in providing long-term funding for forestry in Africa, which is currently unavailable. In addition, FMO's non-financial contribution is significant: developing an environmental and social risk monitoring system and a stakeholder management plan. The project contributes strongly to CO2 reduction and tackling climate change.""}";Infrastructure, Manufacturing and Services;GREEN RESOURCES AS;;;;
